"CÓDIGO CNAE","LINK CNAE","DESCRIÇÃO CNAE","CÓDIGO SERVIÇO","DESCRIÇÃO SERVIÇO","LOCAL DE RECOLHIMENTO - ISS"
"4618403","https://www.contabilizei.com.br/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4618403-representantes-comerciais-e-agentes-do-comercio-de-jornais-revistas-e-outras-publicacoes/","Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações","04.11","Obstetrícia.","ISS devido no local do Estabelecimento do Prestador"
"4618499","https://www.contabilizei.com.br/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4618499-outros-representantes-comerciais-e-agentes-do-comercio-especializado-em-produtos-nao-especificados-anteriormente/","Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente","04.12","Odontologia.","ISS devido no local do Estabelecimento do Prestador"
"4619200","https://www.contabilizei.com.br/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4619200-representantes-comerciais-e-agentes-do-comercio-de-mercadorias-em-geral-nao-especializado/","Representantes comerciais e agentes do comércio de mercadorias em geral não especializado","04.13","Ortóptica.","ISS devido no local do Estabelecimento do Prestador"
"4711301","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4711301-comercio-varejista-de-mercadorias-em-geral-com-predominancia-de-produtos-alimenticios-hipermercados/","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios – hipermercados","04.14","Próteses sob encomenda.","ISS devido no local do Estabelecimento do Prestador"
"4711302","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4711302-comercio-varejista-de-mercadorias-em-geral-com-predominancia-de-produtos-alimenticios-supermercados/","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios – supermercados","04.15","Psicanálise.","ISS devido no local do Estabelecimento do Prestador"
"4712100","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4712100-comercio-varejista-de-mercadorias-em-geral-com-predominancia-de-produtos-alimenticios-minimercados-mercearias-e-armazens/","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios – minimercados, mercearias e armazéns","04.16","Psicologia.","ISS devido no local do Estabelecimento do Prestador"
"4713002","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4713002-lojas-de-variedades-exceto-lojas-de-departamentos-ou-magazines/","Lojas de variedades, exceto lojas de departamentos ou magazines","04.17","Casas de repouso e de recuperação, creches, asilos e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4713004","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4713004-lojas-de-departamentos-ou-magazines-exceto-lojas-francas-duty-free/","Lojas de departamentos ou magazines, exceto lojas francas (Duty free)","04.18","Inseminação artificial, fertilização in vitro e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4721102","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4721102-padaria-e-confeitaria-com-predominancia-de-revenda/","Padaria e confeitaria com predominância de revenda","04.19","Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4721103","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4721103-comercio-varejista-de-laticinios-e-frios/","Comércio varejista de laticínios e frios","04.20","Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.","ISS devido no local do Estabelecimento do Prestador"
"4721104","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4721104-comercio-varejista-de-doces-balas-bombons-e-semelhantes/","Comércio varejista de doces, balas, bombons e semelhantes","04.21","Unidade de atendimento, assistência ou tratamento móvel e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4723700","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4723700-comercio-varejista-de-bebidas/","Comércio varejista de bebidas","04.22","Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4724500","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4724500-comercio-varejista-de-hortifrutigranjeiros/","Comércio varejista de hortifrutigranjeiros","04.23","Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário.","ISS devido no local do Estabelecimento do Prestador"
"4729601","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4729601-tabacaria/","Tabacaria","05.01","Medicina veterinária e zootecnia.","ISS devido no local do Estabelecimento do Prestador"
"4729699","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4729699-comercio-varejista-de-produtos-alimenticios-em-geral-ou-especializado-em-produtos-alimenticios-nao-especificados-anteriormente/","Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente","05.02","Hospitais, clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária.","ISS devido no local do Estabelecimento do Prestador"
"4743100","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4743100-comercio-varejista-de-vidros/","Comércio varejista de vidros","05.03","Laboratórios de análise na área veterinária.","ISS devido no local do Estabelecimento do Prestador"
"4744002","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4744002-comercio-varejista-de-madeira-e-artefatos/","Comércio varejista de madeira e artefatos","05.04","Inseminação artificial, fertilização in vitro e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4751201","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4751201-comercio-varejista-especializado-de-equipamentos-e-suprimentos-de-informatica/","Comércio varejista especializado de equipamentos e suprimentos de informática","05.05","Bancos de sangue e de órgãos e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4751202","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4751202-recarga-de-cartuchos-para-equipamentos-de-informatica/","Recarga de cartuchos para equipamentos de informática","05.06","Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.","ISS devido no local do Estabelecimento do Prestador"
"4752100","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4752100-comercio-varejista-especializado-de-equipamentos-de-telefonia-e-comunicacao/","Comércio varejista especializado de equipamentos de telefonia e comunicação","05.07","Unidade de atendimento, assistência ou tratamento móvel e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4753900","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4753900-comercio-varejista-especializado-de-eletrodomesticos-e-equipamentos-de-audio-e-video/","Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo","05.08","Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4754701","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4754701-comercio-varejista-de-moveis/","Comércio varejista de móveis","05.09","Planos de atendimento e assistência médico-veterinária.","ISS devido no local do Estabelecimento do Prestador"
"4754702","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4754702-comercio-varejista-de-artigos-de-colchoaria/","Comércio varejista de artigos de colchoaria","06.01","Barbearia, cabeleireiros, manicuros, pedicuros e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4754703","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4754703-comercio-varejista-de-artigos-de-iluminacao/","Comércio varejista de artigos de iluminação","06.02","Esteticistas, tratamento de pele, depilação e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4755501","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4755501-comercio-varejista-de-tecidos/","Comércio varejista de tecidos","06.03","Banhos, duchas, sauna, massagens e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4755502","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4755502-comercio-varejista-de-artigos-de-armarinho/","Comércio varejista de artigos de armarinho","06.04","Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas.","ISS devido no local do Estabelecimento do Prestador"
"4755503","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4755503-comercio-varejista-de-artigos-de-cama-mesa-e-banho/","Comércio varejista de artigos de cama, mesa e banho","06.05","Centros de emagrecimento, spa e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4756300","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4756300-comercio-varejista-especializado-de-instrumentos-musicais-e-acessorios/","Comércio varejista especializado de instrumentos musicais e acessórios","06.06","Aplicação de tatuagens, piercings e congêneres. (Incluído pela Lei Complementar nº 157, de 2016)","ISS devido no local do Estabelecimento do Prestador"
"4757100","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4757100-comercio-varejista-especializado-de-pecas-e-acessorios-para-aparelhos-eletroeletronicos-para-uso-domestico-exceto-informatica-e-comunicacao/","Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação","07.01","Engenharia, agronomia, agrimensura, arquitetura, geologia, urbanismo, paisagismo e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4759801","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4759801-comercio-varejista-de-artigos-de-tapecaria-cortinas-e-persianas/","Comércio varejista de artigos de tapeçaria, cortinas e persianas","07.02","Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).","ISS devido no local da execução do serviço"
"4759899","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4759899-comercio-varejista-de-outros-artigos-de-uso-domestico-nao-especificados-anteriormente/","Comércio varejista de outros artigos de uso doméstico não especificados anteriormente","07.03","Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia; elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia.","ISS devido no local do Estabelecimento do Prestador"
"4761001","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4761001-comercio-varejista-de-livros/","Comércio varejista de livros","07.04","Demolição.","ISS devido no local da execução do serviço"
"4761002","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4761002-comercio-varejista-de-jornais-e-revistas/","Comércio varejista de jornais e revistas","07.05","Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS).","ISS devido no local da execução do serviço"
"4761003","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4761003-comercio-varejista-de-artigos-de-papelaria/","Comércio varejista de artigos de papelaria","07.06","Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço.","ISS devido no local do Estabelecimento do Prestador"
"4762800","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4762800-comercio-varejista-de-discos-cds-dvds-e-fitas/","Comércio varejista de discos, CDs, DVDs e fitas","07.07","Recuperação, raspagem, polimento e lustração de pisos e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4763601","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4763601-comercio-varejista-de-brinquedos-e-artigos-recreativos/","Comércio varejista de brinquedos e artigos recreativos","07.08","Calafetação.","ISS devido no local do Estabelecimento do Prestador"
"4763602","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4763602-comercio-varejista-de-artigos-esportivos/","Comércio varejista de artigos esportivos","07.09","Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer.","ISS devido no local da execução do serviço"
"4763603","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4763603-comercio-varejista-de-bicicletas-e-triciclos-pecas-e-acessorios/","Comércio varejista de bicicletas e triciclos peças e acessórios","07.10","Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques, jardins e congêneres.","ISS devido no local da execução do serviço"
"4763604","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4763604-comercio-varejista-de-artigos-de-caca-pesca-e-camping/","Comércio varejista de artigos de caça, pesca e camping","07.11","Decoração e jardinagem, inclusive corte e poda de árvores.","ISS devido no local da execução do serviço"
"4772500","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4772500-comercio-varejista-de-cosmeticos-produtos-de-perfumaria-e-de-higiene-pessoal/","Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal","07.12","Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos.","ISS devido no local da execução do serviço"
"4774100","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4774100-comercio-varejista-de-artigos-de-optica/","Comércio varejista de artigos de óptica","07.13","Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4781400","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4781400-comercio-varejista-de-artigos-do-vestuario-e-acessorios/","Comércio varejista de artigos do vestuário e acessórios","07.16","Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios. (Redação dada pela Lei Complementar nº 157, de 2016)","ISS devido no local da execução do serviço"
"4782201","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4782201-comercio-varejista-de-calcados/","Comércio varejista de calçados","07.17","Escoramento, contenção de encostas e serviços congêneres.","ISS devido no local da execução do serviço"
"4782202","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4782202-comercio-varejista-de-artigos-de-viagem/","Comércio varejista de artigos de viagem","07.18","Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4783102","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4783102-comercio-varejista-de-artigos-de-relojoaria/","Comércio varejista de artigos de relojoaria","07.19","Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo.","ISS devido no local do Estabelecimento do Prestador"
"4785701","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4785701-comercio-varejista-de-antiguidades/","Comércio varejista de antigüidades","07.20","Aerofotogrametria (inclusive interpretação), cartografia, mapeamento, levantamentos topográficos, batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4785799","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4785799-comercio-varejista-de-outros-artigos-usados/","Comércio varejista de outros artigos usados","07.21","Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais.","ISS devido no local do Estabelecimento do Prestador"
"4789001","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4789001-comercio-varejista-de-suvenires-bijuterias-e-artesanatos/","Comércio varejista de suvenires, bijuterias e artesanatos","07.22","Nucleação e bombardeamento de nuvens e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4789002","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4789002-comercio-varejista-de-plantas-e-flores-naturais/","Comércio varejista de plantas e flores naturais","08.01","Ensino regular pré-escolar, fundamental, médio e superior.","ISS devido no local do Estabelecimento do Prestador"
"4789003","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4789003-comercio-varejista-de-objetos-de-arte/","Comércio varejista de objetos de arte","08.02","Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza.","ISS devido no local do Estabelecimento do Prestador"
"4789007","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4789007-comercio-varejista-de-equipamentos-para-escritorio/","Comércio varejista de equipamentos para escritório","09.01","Hospedagem de qualquer natureza em hotéis, apart-service condominiais, flat, apart-hotéis, hotéis residência, residence-service, suite service, hotelaria marítima, motéis, pensões e congêneres; ocupação por temporada com fornecimento de serviço (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).","ISS devido no local do Estabelecimento do Prestador"
"4789008","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4789008-comercio-varejista-de-artigos-fotograficos-e-para-filmagem/","Comércio varejista de artigos fotográficos e para filmagem","09.02","Agenciamento, organização, promoção, intermediação e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4789099","https://www.contabilizei.com.br/consulta-cnae/comercio-varejista/4789099-comercio-varejista-de-outros-produtos-nao-especificados-anteriormente/","Comércio varejista de outros produtos não especificados anteriormente","09.03","Guias de turismo.","ISS devido no local do Estabelecimento do Prestador"
"5611201","https://www.contabilizei.com.br/consulta-cnae/alimentacao/5611201-restaurantes-e-similares/","Restaurantes e similares","10.01","Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.","ISS devido no local do Estabelecimento do Prestador"
"5611203","https://www.contabilizei.com.br/consulta-cnae/alimentacao/5611203-lanchonetes-casas-de-cha-de-sucos-e-similares/","Lanchonetes, casas de chá, de sucos e similares","10.02","Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer.","ISS devido no local do Estabelecimento do Prestador"
"5611204","https://www.contabilizei.com.br/consulta-cnae/alimentacao/5611204-bares-e-outros-estabelecimentos-especializados-em-servir-bebidas-sem-entretenimento/","Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento","10.03","Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.","ISS devido no local do Estabelecimento do Prestador"
"5620101","https://www.contabilizei.com.br/consulta-cnae/alimentacao/5620101-fornecimento-de-alimentos-preparados-preponderantemente-para-empresas/","Fornecimento de alimentos preparados preponderantemente para empresas","10.04","Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).","ISS devido no local do Estabelecimento do Prestador"
